Designator,Mid X,Mid Y,Rotation,Layer
C1,115.365,-76.848,0.0,top
C2,127.12,-89.37,270.0,top
C3,134.12,-89.37,90.0,top
C4,132.362,-77.018,180.0,top
C5,128.524,-83.0325,270.0,top
C6,127.024,-83.0325,270.0,top
D1,115.34,-91.36,0.0,top
D2,136.906,-79.502,270.0,top
D3,136.906,-89.408,270.0,top
F1,120.5,-89.0,180.0,top
J1,139.27,-83.6,90.0,top
J2,113.585,-83.62,270.0,top
Q1,132.362,-79.518,180.0,top
R1,115.34,-89.79,180.0,top
R2,120.5,-87.5,0.0,top
R3,120.86,-83.9978,0.0,top
R4,124.5,-89.0,0.0,top
R5,124.5,-87.5,180.0,top
RN1,132.366,-83.086,0.0,top
U1,130.62,-88.27,90.0,top
U2,124.8918,-83.5406,90.0,top
U3,122.324,-78.486,90.0,top
