Designator,Footprint,Quantity,Value  
C1,0805,1,4.7nF
C2,0603,1,1uF
C3,0603,1,10uF
C4,0603,1,1uF
C5,0603,1,10uF
C6,0603,1,0.1uF
D1,0603,1,PWR
D2,0603,1,TX
D3,0603,1,RX
F1,0603,1,0.5A
J1,JST_SM06B-SRSS-TB_LF__SN_,1,Con_Prog
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB C
Q1,SOT-363_SC-70-6,1,UMH3N
R1,0603,1,1M
"R2, R3",0603,2,5K1
R4,0603,1,22.1K
R5,0603,1,47.5K
RN1,R_Array_Convex_4x0603,1,1K
U1,SOT-89-3,1,LR1107
U2,SOT-666,1,USBLC6-2P6
U3,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,1
